id,title,description,latitude,longitude,
platea,Platea,Platea,32.40,23.13,
poseidonia,Poseidonia,Poseidonia,40.42,15.00,
potidaea,Potidaea,Potidaea,40.19,23.33,
pylos,Pylos,Pylos,36.97,21.66,
rhegium,Rhegium,Rhegium,38.11,15.65,
rhodes,Rhodes,Rhodes,36.46,28.22,
salamis,Salamis,Salamis,37.95,23.55,
samos,Samos,Samos,37.70,26.94,
sardis,Sardis,Sardis,38.48,28.04,
scepsis,Scepsis,Scepsis,39.93,26.71,
sea_of_marmara,Sea of Marmara,Sea of Marmara,40.74,28.14,
segesta,Segesta,Segesta,37.94,12.84,
selinus,Selinus,Selinus,37.58,12.83,
sicily,Sicily,Sicily,37.46,14.14,
smyrna,Smyrna,Smyrna,38.44,27.18,
solous,Solous,Solous,38.09,13.53,
sparta,Sparta,Sparta,37.08,22.43,
sybaris,Sybaris,Sybaris,39.70,16.50,
syracuse,Syracuse,Syracuse,37.06,15.29,
taras,Taras,Taras,40.47,17.24,
tartessus,Tartessus,Tartessus,37.18,-5.60,
tegea,Tegea,Tegea,37.46,22.43,
teos,Teos,Teos,38.17,26.82,
thebes,Thebes,Thebes,38.31,23.32,
thera,Thera,Thera,36.36,25.48,
thermopylae,Thermopylae,Thermopylae,38.80,22.53,
thessaly,Thessaly,Thessaly,39.54,22.29,
thrace,Thrace,Thrace,41.50,25.01,
thurii,Thurii,Thurii,39.71,16.49,
troy,Troy,Troy,39.96,26.24,
